decade,year,artist,minor_percentage,major_percentage,circle_of_fifths_dist,circle_of_fifths_dist_largest_dist,acousticness,danceability,energy,loudness,tonic_percentage,supertonic_percentage,dominant_percentage,non_triad_chords_percentage,different_sections_count,get_added_seventh_use,get_added_sixth_use,power_chords,neither_chords,section_repetitions,i_to_v,v_to_i,chart_pos,spotify_popularity,genre,mode,tempo,valence,duration,chord_distances,chord_distances2,different_chords,different_progressions,different_notes,average_chord_count_per_bar,minor_or_major,chorus_repetitions
1960,1961,Dion,0.20833333333333334,0.7916666666666666,0.0,0,0.451,0.364,0.607,-9.791,0.25,0.0,0.25,0.0,4,0.0,0.0,0.0,0.0,2.9137529137529138e-05,0.0,0.19148936170212766,1,66,rock,1,79.987,0.598,171600,3.3958333333333335,3.3958333333333335,4,0.39285714285714285,0.5833333333333334,0.9166666666666666,1.0,6
1960,1961,Dion,0.20833333333333334,0.7916666666666666,0.0,0,0.451,0.364,0.607,-9.791,0.25,0.0,0.25,0.0,4,0.0,0.0,0.0,0.0,2.9137529137529138e-05,0.0,0.19148936170212766,1,66,rock,1,79.987,0.598,171600,3.3958333333333335,3.3958333333333335,4,0.39285714285714285,0.5833333333333334,0.9166666666666666,1.0,6
1970,1971,The Doors,0.5590551181102362,0.4409448818897638,0.0303030303030303,0.3333333333333333,0.25,0.55,0.722,-11.729,0.2755905511811024,0.0,0.03937007874015748,0.0,3,0.047244094488188976,0.0,0.0,0.0,1.610231873389768e-05,0.0,0.0,14,73,rock,0,103.886,0.716,434720,2.047244094488189,0.7086614173228346,11,0.58,0.6666666666666666,2.087378640776699,0.3937007874015748,2
1970,1971,The Doors,0.5590551181102362,0.4409448818897638,0.0303030303030303,0.3333333333333333,0.25,0.55,0.722,-11.729,0.2755905511811024,0.0,0.03937007874015748,0.0,3,0.047244094488188976,0.0,0.0,0.0,1.610231873389768e-05,0.0,0.0,14,73,rock,0,103.886,0.716,434720,2.047244094488189,0.7086614173228346,11,0.58,0.6666666666666666,2.087378640776699,0.3937007874015748,2
1980,1980,Pink Floyd,0.41935483870967744,0.4838709677419355,0.24074074074074073,0.3333333333333333,0.0704,0.693,0.353,-17.852,0.5161290322580645,0.0,0.0,0.0967741935483871,4,0.03225806451612903,0.0,0.0,0.0967741935483871,8.74940394685612e-06,0.0,0.0,1,71,rock,1,104.143,0.75,228587,3.096774193548387,1.935483870967742,9,0.875,0.6666666666666666,0.875,0.7419354838709677,2
1980,1980,Pink Floyd,0.41935483870967744,0.4838709677419355,0.24074074074074073,0.3333333333333333,0.0704,0.693,0.353,-17.852,0.5161290322580645,0.0,0.0,0.0967741935483871,4,0.03225806451612903,0.0,0.0,0.0967741935483871,8.74940394685612e-06,0.0,0.0,1,71,rock,1,104.143,0.75,228587,3.096774193548387,1.935483870967742,9,0.875,0.6666666666666666,0.875,0.7419354838709677,2
1980,1984,Wham!,0.4444444444444444,0.5555555555555556,0.08333333333333334,0.8333333333333334,0.271,0.62,0.573,-11.893,0.41414141414141414,0.0,0.04040404040404041,0.0,4,0.06060606060606061,0.0,0.0,0.0,4.322772799384437e-05,0.0,0.04081632653061224,1,80,pop,1,81.548,0.897,231333,2.1717171717171717,1.7676767676767677,10,0.7857142857142857,0.6666666666666666,1.0,0.7272727272727273,3
1980,1984,Wham!,0.4444444444444444,0.5555555555555556,0.08333333333333334,0.8333333333333334,0.271,0.62,0.573,-11.893,0.41414141414141414,0.0,0.04040404040404041,0.0,4,0.06060606060606061,0.0,0.0,0.0,4.322772799384437e-05,0.0,0.04081632653061224,1,80,pop,1,81.548,0.897,231333,2.1717171717171717,1.7676767676767677,10,0.7857142857142857,0.6666666666666666,1.0,0.7272727272727273,3
1970,1976,Wild Cherry,0.0,0.9375,0.4166666666666667,0.8333333333333334,0.0435,0.814,0.672,-12.068,0.5625,0.0,0.125,0.0625,5,0.25,0.0,0.0,0.0625,1.3333333333333333e-05,0.0,0.13333333333333333,1,72,soul,1,109.394,0.933,300000,1.6875,1.6875,6,1.0,0.9166666666666666,1.0,0.0,2
1970,1976,Wild Cherry,0.0,0.9375,0.4166666666666667,0.8333333333333334,0.0435,0.814,0.672,-12.068,0.5625,0.0,0.125,0.0625,5,0.25,0.0,0.0,0.0625,1.3333333333333333e-05,0.0,0.13333333333333333,1,72,soul,1,109.394,0.933,300000,1.6875,1.6875,6,1.0,0.9166666666666666,1.0,0.0,2
1980,1981,The Police,0.1144578313253012,0.7228915662650602,0.16666666666666669,0.5,0.121,0.558,0.768,-9.997,0.1746987951807229,0.0,0.4036144578313253,0.16265060240963855,5,0.04216867469879518,0.006024096385542169,0.030120481927710843,0.16265060240963855,2.6863873079712788e-05,0.09696969696969697,0.12727272727272726,3,74,pop.rock,1,81.909,0.429,260573,2.5,3.2951807228915664,18,0.6666666666666666,0.9166666666666666,1.146341463414634,0.3855421686746988,3
