decade,year,artist,chart_pos,genre,genre_groups,spotify_popularity,spotify_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,loudness,mode,speechiness,tempo,valence,minor_percentage,major_percentage,neither_chords,get_added_seventh_use,non_triad_chords_percentage,minor_or_major,tonic_percentage,supertonic_percentage,dominant_percentage,v_to_i,circle_of_fifths_dist,circle_of_fifths_dist_largest_dist,chord_distances,chord_distances2,different_chords,different_progressions,different_notes,average_chord_count_per_bar,different_sections_count,section_repetitions,chorus_repetitions,guitar,synthesizer,piano,saxophone,strings,trumpet,love,anger,sadness,joy,negative,positive
1960,1961,James Brown,47,blues.funk.rock.soul,,21,2ccAMXmyEIP9JUIWSsTZFA,0.879,0.715,2721.116666666667,0.205,0.228,0,-17.551,1,0.0281,97.274,0.679,0.23255813953488372,0.7674418604651163,0.0,0.0,0.0,1.0,0.3953488372093023,0.09302325581395349,0.09302325581395349,0.09523809523809523,0.1111111111111111,0.3333333333333333,3.488372093023256,3.488372093023256,6,0.6666666666666666,9,1.0,2,0.00146998474890823,0,True,False,False,False,False,False,0.029717082157731056,0.9186100959777832,0.04579228162765503,0.0031414409168064594,0.9558376669883728,0.04416240379214287
1970,1971,Roberta Flack;Donny Hathaway,29,rock,rock,43,3jwtAvbYIqd1maiNMzUTks,0.702,0.412,4527.783333333334,0.333,0.00816,1,-15.88,1,0.049,78.875,0.447,0.24,0.7333333333333333,0.02666666666666667,0.08,0.05333333333333334,0.4533333333333333,0.28,0.06666666666666667,0.09333333333333334,0.06756756756756757,0.15000000000000002,0.8333333333333334,3.8,2.5866666666666664,20,0.7611940298507462,9,1.2535211267605635,6,0.0002208586247133439,2,False,False,False,False,False,False,0.0020463275723159313,0.0320405475795269,0.9195947647094727,0.04369577765464783,0.0015339571982622147,0.9984660148620605
1980,1980,Bette Midler,3,pop,pop,67,562JrM9b7jiu8LgzV62x3o,0.901,0.347,3689.55,0.228,0,0,-9.667,1,0.0296,133.574,0.184,0.07017543859649122,0.9122807017543859,0.017543859649122806,0.03508771929824561,0.017543859649122806,0.38596491228070173,0.3157894736842105,0.0,0.3508771929824561,0.21428571428571427,0.0196078431372549,0.3333333333333333,3.087719298245614,2.6315789473684212,17,0.52,8,1.5849056603773586,2,0.0005420715263379002,0,False,False,False,False,False,False,0.000262226298218593,0.0011234007542952895,0.0009959302842617035,0.0004102707316633314,0.2177540361881256,0.7822459936141968
1980,1984,Billy Joel,10,pop.rock.singer-songwriter,pop-rock,54,1Gg14U26oq94uWcG7khccX,0.0466,0.509,5300.0,0.382,0,0,-9.441,1,0.0351,105.764,0.427,0.13333333333333333,0.8666666666666667,0.0,0.044444444444444446,0.0,0.6222222222222222,0.31851851851851853,0.1111111111111111,0.2074074074074074,0.1865671641791045,0.05555555555555555,0.3333333333333333,3.585185185185185,1.7925925925925925,12,0.717948717948718,8,1.6384615384615384,4,0.0018867924528301887,3,False,False,False,False,False,False,0.011005278676748276,0.43603137135505676,0.07127779722213745,0.24083131551742554,0.8239141702651978,0.17608581483364105
1980,1980,Johnny Lee,5,country,country,58,5pvNhGuCow3Eq1nWbP3Sco,0.586,0.74,3674.0,0.394,0.000215,2,-15.126,1,0.0331,123.689,0.78,0.24444444444444444,0.7555555555555555,0.0,0.022222222222222223,0.0,0.8888888888888888,0.2111111111111111,0.12222222222222222,0.23333333333333334,0.12359550561797752,0.016666666666666666,0.16666666666666666,3.088888888888889,3.1333333333333333,10,0.7307692307692307,8,1.165137614678899,4,0.0010887316276537834,4,True,False,False,False,False,False,0.007933109067380428,0.05137231573462486,0.0241251140832901,0.4004853665828705,0.8496080040931702,0.15039198100566864
1970,1976,Aerosmith,21,rock,rock,52,5jH8ecmEyX08pQ06T0h6ly,0.026,0.517,3437.7833333333333,0.504,0,8,-11.66,1,0.0414,166.81,0.741,0.043478260869565216,0.9565217391304348,0.0,0.21739130434782608,0.0,0.34782608695652173,0.4782608695652174,0.0,0.0,0.0,0.3333333333333333,0.8333333333333334,3.3043478260869565,3.3043478260869565,7,0.6,9,1.0,4,0.0002908851149238608,0,True,False,False,False,False,False,0.00149677530862391,0.4638025760650635,0.5213712453842163,0.008805942721664906,0.9964383840560913,0.0035616387613117695
1980,1984,Cyndi Lauper,3,pop,pop,53,2FAL6hxj5Qxuj0kWOkEOsF,0.00088,0.583,3821.116666666667,0.891,0.000163,9,-4.565,0,0.0345,136.794,0.814,0.4074074074074074,0.5925925925925926,0.0,0.05555555555555555,0.0,0.8888888888888888,0.2962962962962963,0.0,0.1111111111111111,0.11320754716981132,0.08333333333333333,0.5,3.037037037037037,3.037037037037037,6,0.6,8,1.0,5,0.0010468144128897747,3,False,False,False,False,False,False,0.006035955622792244,0.04368080571293831,0.015285400673747063,0.91578209400177,0.01324169896543026,0.986758291721344
1980,1981,Daryl Hall & John Oates,1,pop.rock,pop-rock,63,7cDzJyC95jtGO9zAeZsWOg,0.434,0.815,4416.45,0.741,0.115,0,-9.478,1,0.031,121.221,0.965,0.41237113402061853,0.5567010309278351,0.030927835051546393,0.08247422680412371,0.041237113402061855,0.422680412371134,0.28865979381443296,0.010309278350515464,0.26804123711340205,0.11458333333333333,0.1388888888888889,0.5,3.185567010309278,2.0721649484536084,18,0.6415094339622641,10,1.170940170940171,5,0.0011321310102005004,3,False,False,False,False,False,False,0.977397084236145,0.005829328671097755,0.00585423968732357,0.0025182387325912714,0.00017276580911129713,0.9998272061347961
1970,1976,Tanya Tucker,82,country,country,28,0zQqGcIinqDdkWXky7KTEW,0.533,0.582,3028.2166666666667,0.323,0.00015,1,-15.974,1,0.059,135.345,0.635,0.12,0.88,0.0,0.06666666666666667,0.0,0.7466666666666667,0.3466666666666667,0.02666666666666667,0.25333333333333335,0.14864864864864866,0.07575757575757576,0.8333333333333334,3.32,2.8933333333333335,11,0.7441860465116279,8,1.588235294117647,3,0.0013209094461536768,3,True,False,False,False,False,False,0.0011945911683142185,0.05007367953658104,0.9398751258850098,0.006724377162754536,0.00042808495345525444,0.9995718598365784
1980,1980,The J. Geils Band,78,blues.pop.rock,pop-rock,44,0VYOEbCV2NaUZ3bQuJ6HDy,0.00251,0.668,3421.55,0.909,0.00488,7,-5.687,1,0.0697,152.234,0.654,0.12121212121212122,0.8787878787878788,0.0,0.0,0.005050505050505051,0.8131313131313131,0.31313131313131315,0.030303030303030304,0.41414141414141414,0.27918781725888325,0.0625,0.5,3.9797979797979797,2.1717171717171717,8,0.37037037037037035,8,1.8968253968253967,5,0.0014613260072189505,3,True,False,False,False,False,False,0.0030673472210764885,0.8061363697052002,0.060647182166576385,0.10596790164709091,0.8900359272956848,0.10996410995721817
