,id,artists,name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,4Hf6kEGsZmIdTzar565Gn1,23,Selfmade,hiphop,0.436,0.552,9,-12.551,0,0.331,0.18,0.0,0.0567,0.846,91.067,131244,1
1,3CgP1CxtvZgIYomCNuP5jG,Sickan,GET THE POINT,hiphop,0.961,0.62,10,-8.978,0,0.241,0.514,0.000281,0.113,0.685,124.017,178064,4
2,7kfL2aZ4AuhkTEEDwhK83f,Yasin,On Sight,hiphop,0.79,0.665,11,-6.385,0,0.121,0.214,0.0276,0.118,0.375,168.033,130000,4
3,2g8HN35AnVGIk7B8yMucww,The Notorious B.I.G.,Big Poppa - 2005 Remaster,hiphop,0.78,0.575,9,-7.247,0,0.273,0.43,0.0,0.143,0.773,84.492,252747,4
4,503OTo2dSqe7qk76rgsbep,Dr. Dre & Snoop Dogg,Still D.R.E.,hiphop,0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,270587,4
5,1AHfovSnGPVYKaahRtA0U6,Nas,The Message,hiphop,0.614,0.543,5,-7.178,1,0.374,0.00776,3.28e-05,0.383,0.485,178.422,234093,4
6,4wEbikMfcSFAukCbbL06si,Ice Cube,No Vaseline,hiphop,0.575,0.927,4,-5.511,0,0.395,0.0383,0.0,0.0623,0.473,105.567,313547,4
7,4Li2WHPkuyCdtmokzW2007,JAY-Z & Kanye West,Ni**as In Paris,hiphop,0.789,0.858,1,-5.542,1,0.311,0.127,0.0,0.349,0.775,140.022,219333,4
8,6KIKRz9eSTXdNsGUnomdtW,N.W.A.,Straight Outta Compton,hiphop,0.834,0.878,8,-9.484,1,0.15,0.0461,0.0,0.334,0.418,102.848,258688,4
9,1Sgj10byiGzPpI2IrXSFEn,Wu-Tang Clan & RZA & Method Man & Inspectah Deck & Raekwon & U-God & Ol' Dirty Bastard & Ghostface Killah & GZA,"Protect Ya Neck (feat. RZA, Method Man, Inspectah Deck, Raekwon, U-God, Ol' Dirty Bastard, Ghostface Killah & GZA)",hiphop,0.817,0.552,8,-10.8,0,0.385,0.0318,7.01e-06,0.826,0.808,102.011,291067,4
10,2KFg8kjYy0rYjWsXGhEQHN,The Notorious B.I.G.,Who Shot Ya? - 2005 Remaster,hiphop,0.831,0.682,7,-5.697,1,0.238,0.256,0.0,0.494,0.6,91.771,319360,4
11,4anqYZt4APNlFwQixpbdZR,Method Man & Redman,Da Rockwilder,hiphop,0.612,0.659,6,-6.995,0,0.406,0.0137,0.0,0.417,0.393,99.137,136093,4
12,561jH07mF1jHuk7KlaeF0s,Eminem,Mockingbird,hiphop,0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,250760,4
13,7G3lxTsMfSx4yarMkfgnTC,Nas,The World Is Yours,hiphop,0.678,0.794,10,-6.186,0,0.14,0.274,1.68e-06,0.124,0.54,87.374,290573,4
14,0XRbYXQUymj9SJkrr8YK5B,2Pac,Keep Ya Head Up,hiphop,0.598,0.732,4,-7.013,1,0.425,0.144,0.0,0.508,0.595,172.329,262507,4
15,2Ih217RCGAmyQR68Nn7Cqo,Ice Cube,You Know How We Do It,hiphop,0.747,0.52,10,-10.523,0,0.0357,0.0977,0.0537,0.142,0.601,92.869,232773,4
16,28AvvchUP85ihRe9xCzcfB,EPMD,Da Joint,hiphop,0.734,0.466,10,-8.658,0,0.464,0.243,0.0,0.106,0.788,89.318,208360,4
17,6sCtddSFg3foJn4K2pIhfQ,Makaveli,Hail Mary,hiphop,0.696,0.636,10,-6.915,0,0.335,0.158,1.28e-05,0.338,0.358,81.593,309800,4
18,7KwZNVEaqikRSBSpyhXK2j,The Notorious B.I.G.,Hypnotize - 2014 Remaster,hiphop,0.901,0.697,9,-3.439,1,0.28,0.145,0.0,0.287,0.67,93.941,229827,4
19,15qrWkkYCfmtu1uRpGf48L,Eminem,White America,hiphop,0.558,0.615,1,-5.641,1,0.229,0.0103,0.0,0.105,0.16,76.673,324547,4
