,id,artists,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,0jWgAnTrNZmOGmqgvHhZEm,4 Non Blondes,What's Up?,0.565,0.564,2,-10.044,1,0.0292,0.161,0.0,0.114,0.454,134.355,295533,4
1,1DIXPcTDzTj8ZMHt3PDt8p,Coolio & L.V.,Gangsta's Paradise,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.386,79.975,240693,4
2,6xkryXuiZU360Lngd4sx13,Mariah Carey,Fantasy,0.669,0.727,7,-7.588,1,0.0353,0.139,0.0,0.123,0.807,102.322,243493,4
3,6kvoHl80mfCVTv7XnZkjQn,Roxette,"It Must Have Been Love - From the Film ""Pretty Woman""",0.52,0.652,5,-6.655,1,0.0274,0.34,5.49e-05,0.256,0.722,80.609,258787,4
4,1Je1IMUlBXcx1Fz0WE7oPT,Spice Girls,Wannabe,0.768,0.864,11,-6.145,1,0.0324,0.101,0.0,0.162,0.891,110.008,173027,4
5,6sxptembJVty4sNtcPMAVz,Shania Twain,Man! I Feel Like A Woman!,0.657,0.639,10,-7.527,1,0.0412,0.581,0.0,0.278,0.674,124.882,234493,4
6,3MjUtNVVq3C8Fn0MP3zhXa,Britney Spears,...Baby One More Time,0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,211067,4
7,1JClFT74TYSXlzpagbmj0S,2Pac & Roger & Dr. Dre,California Love - Original Version,0.767,0.856,7,-2.715,1,0.041,0.0303,1.91e-06,0.36,0.747,91.535,285027,4
8,70LcF31zb1H0PyJoS1Sx1r,Radiohead,Creep,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,238640,4
9,6Qyc6fS4DsZjB2mRW9DsQs,The Goo Goo Dolls,Iris,0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,289533,3
10,503OTo2dSqe7qk76rgsbep,Dr. Dre & Snoop Dogg,Still D.R.E.,0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,270587,4
11,57bgtoPSgt236HzfBOd8kj,AC/DC,Thunderstruck,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,292880,4
12,31AOj9sFz2gM0O3hMARRBx,R.E.M.,Losing My Religion,0.666,0.855,9,-5.051,0,0.0295,0.179,1.2e-06,0.0987,0.803,125.639,268427,4
13,48UPSzbZjgc449aqz8bxox,Red Hot Chili Peppers,Californication,0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,329733,4
14,7EZC6E7UjZe63f1jRmkWxt,The Cranberries,Zombie,0.309,0.649,7,-8.994,1,0.035,0.0158,0.00591,0.367,0.312,166.915,306440,4
15,2m1hi0nfMR9vdGC8UcrnwU,blink-182,All The Small Things,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726,167067,4
16,47BBI51FKFwOMlIiX6m8ya,Backstreet Boys,I Want It That Way,0.689,0.694,6,-5.83,0,0.027,0.257,0.0,0.148,0.482,99.039,213307,4
17,3YRCqOhFifThpSRFJ1VWFM,Guns N' Roses,November Rain,0.294,0.641,11,-9.316,1,0.0291,0.0163,0.22,0.112,0.226,79.759,536067,4
18,6L89mwZXSOwYl76YXfX13s,Green Day,Basket Case,0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,181533,4
