,decade,year,artist,chart_pos,genre,spotify_popularity,spotify_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,loudness,mode,speechiness,tempo,valence,minor_percentage,major_percentage,neither_chords,get_added_seventh_use,non_triad_chords_percentage,minor_or_major,tonic_percentage,supertonic_percentage,dominant_percentage,v_to_i,circle_of_fifths_dist,circle_of_fifths_dist_largest_dist,chord_distances,chord_distances2,different_chords,different_progressions,different_notes,average_chord_count_per_bar,different_sections_count,section_repetitions,chorus_repetitions,guitar,synthesizer,piano,saxophone,strings,trumpet,love,anger,sadness,joy,negative,positive,spotify_genres
0,1960,1961,James Brown,47,blues.funk.rock.soul,21,2ccAMXmyEIP9JUIWSsTZFA,0.879,0.715,2721.116666666667,0.205,0.228,0,-17.551,1,0.0281,97.274,0.679,0.2325581395348837,0.7674418604651163,0.0,0.0,0.0,1.0,0.3953488372093023,0.0930232558139534,0.0930232558139534,0.0952380952380952,0.1111111111111111,0.3333333333333333,3.488372093023256,3.488372093023256,6,0.6666666666666666,9,1.0,2,0.0014699847489082,0,True,False,False,False,False,False,0.029717082157731,0.9186100959777832,0.045792281627655,0.0031414409168064,0.9558376669883728,0.0441624037921428,funk.soul
1,1970,1971,Roberta Flack;Donny Hathaway,29,rock,43,3jwtAvbYIqd1maiNMzUTks,0.702,0.412,4527.783333333334,0.333,0.00816,1,-15.88,1,0.049,78.875,0.447,0.24,0.7333333333333333,0.0266666666666666,0.08,0.0533333333333333,0.4533333333333333,0.28,0.0666666666666666,0.0933333333333333,0.0675675675675675,0.15,0.8333333333333334,3.8,2.5866666666666664,20,0.7611940298507462,9,1.2535211267605637,6,0.0002208586247133,2,False,False,False,False,False,False,0.0020463275723159,0.0320405475795269,0.9195947647094728,0.0436957776546478,0.0015339571982622,0.9984660148620604,chicago soul.classic soul.funk.neo soul.quiet storm.soul
2,1980,1980,Bette Midler,3,pop,67,562JrM9b7jiu8LgzV62x3o,0.901,0.347,3689.55,0.228,0.0,0,-9.667,1,0.0296,133.574,0.184,0.0701754385964912,0.912280701754386,0.0175438596491228,0.0350877192982456,0.0175438596491228,0.3859649122807017,0.3157894736842105,0.0,0.3508771929824561,0.2142857142857142,0.0196078431372549,0.3333333333333333,3.087719298245614,2.631578947368421,17,0.52,8,1.5849056603773586,2,0.0005420715263379,0,False,False,False,False,False,False,0.0002622262982185,0.0011234007542952,0.0009959302842617,0.0004102707316633,0.2177540361881256,0.7822459936141968,adult standards.mellow gold.new wave pop.soft rock
3,1980,1984,Billy Joel,10,pop.rock.singer-songwriter,54,1Gg14U26oq94uWcG7khccX,0.0466,0.509,5300.0,0.382,0.0,0,-9.441,1,0.0351,105.764,0.427,0.1333333333333333,0.8666666666666667,0.0,0.0444444444444444,0.0,0.6222222222222222,0.3185185185185185,0.1111111111111111,0.2074074074074074,0.1865671641791045,0.0555555555555555,0.3333333333333333,3.585185185185185,1.7925925925925923,12,0.717948717948718,8,1.6384615384615384,4,0.0018867924528301,3,False,False,False,False,False,False,0.0110052786767482,0.4360313713550567,0.0712777972221374,0.2408313155174255,0.8239141702651978,0.176085814833641,classic rock.mellow gold.piano rock.rock.singer-songwriter.soft rock
4,1980,1980,Johnny Lee,5,country,58,5pvNhGuCow3Eq1nWbP3Sco,0.586,0.74,3674.0,0.394,0.000215,2,-15.126,1,0.0331,123.689,0.78,0.2444444444444444,0.7555555555555555,0.0,0.0222222222222222,0.0,0.8888888888888888,0.2111111111111111,0.1222222222222222,0.2333333333333333,0.1235955056179775,0.0166666666666666,0.1666666666666666,3.088888888888889,3.1333333333333333,10,0.7307692307692307,8,1.165137614678899,4,0.0010887316276537,4,True,False,False,False,False,False,0.0079331090673804,0.0513723157346248,0.0241251140832901,0.4004853665828705,0.8496080040931702,0.1503919810056686,classic country pop.country.country rock
5,1970,1976,Aerosmith,21,rock,52,5jH8ecmEyX08pQ06T0h6ly,0.026,0.517,3437.7833333333333,0.504,0.0,8,-11.66,1,0.0414,166.81,0.741,0.0434782608695652,0.9565217391304348,0.0,0.217391304347826,0.0,0.3478260869565217,0.4782608695652174,0.0,0.0,0.0,0.3333333333333333,0.8333333333333334,3.3043478260869565,3.3043478260869565,7,0.6,9,1.0,4,0.0002908851149238,0,True,False,False,False,False,False,0.0014967753086239,0.4638025760650635,0.5213712453842163,0.0088059427216649,0.9964383840560912,0.0035616387613117,album rock.classic rock.hard rock.rock
6,1980,1984,Cyndi Lauper,3,pop,53,2FAL6hxj5Qxuj0kWOkEOsF,0.00088,0.583,3821.116666666667,0.891,0.000163,9,-4.565,0,0.0345,136.794,0.814,0.4074074074074074,0.5925925925925926,0.0,0.0555555555555555,0.0,0.8888888888888888,0.2962962962962963,0.0,0.1111111111111111,0.1132075471698113,0.0833333333333333,0.5,3.037037037037037,3.037037037037037,6,0.6,8,1.0,5,0.0010468144128897,3,False,False,False,False,False,False,0.0060359556227922,0.0436808057129383,0.015285400673747,0.91578209400177,0.0132416989654302,0.986758291721344,disco.new wave pop.permanent wave.soft rock
7,1980,1981,Daryl Hall & John Oates,1,pop.rock,63,7cDzJyC95jtGO9zAeZsWOg,0.434,0.815,4416.45,0.741,0.115,0,-9.478,1,0.031,121.221,0.965,0.4123711340206185,0.5567010309278351,0.0309278350515463,0.0824742268041237,0.0412371134020618,0.422680412371134,0.2886597938144329,0.0103092783505154,0.268041237113402,0.1145833333333333,0.1388888888888889,0.5,3.185567010309278,2.0721649484536084,18,0.6415094339622641,10,1.170940170940171,5,0.0011321310102005,3,False,False,False,False,False,False,0.977397084236145,0.0058293286710977,0.0058542396873235,0.0025182387325912,0.0001727658091112,0.999827206134796,album rock.classic rock.mellow gold.rock.soft rock.yacht rock
8,1970,1976,Tanya Tucker,82,country,28,0zQqGcIinqDdkWXky7KTEW,0.533,0.582,3028.2166666666667,0.323,0.00015,1,-15.974,1,0.059,135.345,0.635,0.12,0.88,0.0,0.0666666666666666,0.0,0.7466666666666667,0.3466666666666667,0.0266666666666666,0.2533333333333333,0.1486486486486486,0.0757575757575757,0.8333333333333334,3.32,2.893333333333333,11,0.7441860465116279,8,1.588235294117647,3,0.0013209094461536,3,True,False,False,False,False,False,0.0011945911683142,0.050073679536581,0.9398751258850098,0.0067243771627545,0.0004280849534552,0.9995718598365784,country.country dawn.country rock.outlaw country
9,1980,1980,The J. Geils Band,78,blues.pop.rock,44,0VYOEbCV2NaUZ3bQuJ6HDy,0.00251,0.668,3421.55,0.909,0.00488,7,-5.687,1,0.0697,152.234,0.654,0.1212121212121212,0.8787878787878788,0.0,0.0,0.005050505050505,0.8131313131313131,0.3131313131313131,0.0303030303030303,0.4141414141414141,0.2791878172588832,0.0625,0.5,3.97979797979798,2.171717171717172,8,0.3703703703703703,8,1.8968253968253967,5,0.0014613260072189,3,True,False,False,False,False,False,0.0030673472210764,0.8061363697052002,0.0606471821665763,0.1059679016470909,0.8900359272956848,0.1099641099572181,album rock.art rock.blues rock.classic rock.country rock.folk rock.hard rock.mellow gold.pop rock.rock.singer-songwriter.soft rock
