,Unnamed: 0,id,artists,name,decade,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,spotify_popularity
0,0,5ueyLj6e6oVaTY0KQ6yLaA,Elvis Presley,All Shook Up,1950,0.624,0.468,10,-12.162,1,0.132,0.881,6.35e-06,0.144,0.952,74.139,117080,4,61.0
1,1,3aEJMh1cXKEjgh52claxQp,Frank Sinatra,I've Got You Under My Skin - Remastered 1998,1950,0.585,0.247,1,-12.612,1,0.04,0.452,8.85e-06,0.107,0.591,127.15,223760,4,67.0
2,2,2vSxjnyrWrtxyfzO47EX6q,The Platters,Smoke Gets In Your Eyes,1950,0.203,0.295,3,-11.155,1,0.0323,0.92,2.05e-06,0.173,0.285,171.222,160933,3,64.0
3,3,5yQ9iMZXGcr5rlO4hoLsP4,Ray Charles,"What'd I Say, Pt. 1 & 2",1950,0.54,0.681,4,-5.44,1,0.0508,0.808,0.0,0.162,0.794,88.385,307053,4,61.0
4,4,3HuJDcOWx0gE9Yng2uWY7K,Louis Armstrong,Dream A Little Dream Of Me,1950,0.461,0.185,2,-18.087,1,0.0502,0.604,0.0,0.121,0.405,95.509,196840,4,64.0
5,5,50RwvvEKX5Q7AZt8FTAwIF,Buddy Holly,That'll Be The Day,1950,0.536,0.637,2,-7.774,1,0.0343,0.467,0.0,0.0838,0.798,115.24,150133,4,61.0
6,6,01u6AEzGbGbQyYVdxajxqk,Elvis Presley,Don't Be Cruel,1950,0.697,0.55,2,-11.496,1,0.179,0.856,3.44e-05,0.0907,0.844,84.802,122893,4,57.0
7,7,2QfiRTz5Yc8DdShCxG1tB2,Chuck Berry,Johnny B. Goode,1950,0.534,0.803,10,-9.129,1,0.0743,0.741,6.07e-05,0.307,0.969,167.983,161560,4,75.0
8,8,7caj6X6NMX3tlhWnu1du6V,Ritchie Valens,We Belong Together,1950,0.684,0.247,5,-13.71,1,0.0281,0.872,0.000166,0.113,0.768,106.522,116627,3,69.0
9,9,64VP3skE86iTvdOlbzuIcO,Jerry Lee Lewis,Great Balls Of Fire,1950,0.533,0.729,7,-7.227,0,0.0714,0.563,0.0,0.159,0.884,78.67,111536,4,68.0
10,10,3KzgdYUlqV6TOG7JCmx2Wg,Bobby Darin,Beyond the Sea,1950,0.521,0.516,2,-7.456,0,0.0369,0.723,0.0,0.257,0.569,136.483,172480,4,67.0
11,11,1uRKT2LRANv4baowBWHfDS,Bill Haley & His Comets,(We're Gonna) Rock Around The Clock,1950,0.811,0.859,9,-6.317,1,0.168,0.205,3.73e-06,0.0761,0.784,90.686,129893,4,64.0
12,12,7dblNGnRXEBrVJunazs2U5,The Everly Brothers,All I Have to Do Is Dream,1950,0.534,0.462,4,-8.172,1,0.0266,0.839,0.0,0.129,0.534,96.195,143333,4,66.0
13,13,33jt3kYWjQzqn3xyYQ5ZEh,Ella Fitzgerald & Louis Armstrong,Cheek To Cheek,1950,0.663,0.264,0,-14.571,1,0.0914,0.706,0.0,0.1,0.657,122.482,354533,4,66.0
14,14,2aEeghgUcnu75tzcolFMfs,Ritchie Valens,La Bamba - Single Version,1950,0.516,0.809,0,-6.419,1,0.0545,0.787,0.000331,0.303,0.939,75.099,126960,4,65.0
15,15,4gphxUgq0JSFv2BCLhNDiE,Elvis Presley,Jailhouse Rock,1950,0.647,0.582,10,-9.538,0,0.0755,0.41,1.93e-06,0.0715,0.915,167.396,146480,4,67.0
16,16,39lnzOIUCSNaQmgBHoz7rt,Buddy Holly & The Crickets,Everyday,1950,0.747,0.219,3,-12.562,1,0.0371,0.584,2.57e-05,0.107,0.498,135.562,129120,4,64.0
17,17,4hHbeIIKO5Y5uLyIEbY9Gn,Frank Sinatra,Come Fly With Me - Remastered 1998,1950,0.574,0.338,6,-11.376,1,0.042,0.845,0.0,0.165,0.493,67.008,199093,4,66.0
18,18,2xar08Fq5xra2KKZs5Bw9j,Ray Charles,I've Got a Woman,1950,0.556,0.61,9,-4.729,1,0.213,0.833,2.22e-06,0.258,0.665,199.373,171467,4,65.0
19,19,648TTtYB0bH0P8Hfy0FmkL,Nat King Cole,Unforgettable,1950,0.349,0.182,5,-13.507,1,0.031,0.92,0.0152,0.143,0.178,136.094,191973,3,66.0
20,20,4fHDlIntTsRGSyTg5UYZYC,Harry Belafonte,Banana Boat (Day-O),1950,0.797,0.105,1,-16.881,1,0.0969,0.885,0.000116,0.108,0.419,122.545,183133,4,69.0
21,21,507IFqPuG8mBQoKebfGG9t,Little Richard,Long Tall Sally (The Thing),1950,0.474,0.608,5,-5.139,1,0.0825,0.755,0.0,0.0928,0.888,184.694,127427,4,63.0
22,22,0S8ibKBl3tjRmYbZhGHNhG,The Platters,Only You (And You Alone),1950,0.419,0.331,3,-10.497,1,0.0293,0.932,0.0,0.102,0.322,80.647,160093,4,65.0
23,23,64Ny7djQ6rNJspquof2KoX,Elvis Presley,Hound Dog,1950,0.494,0.756,0,-8.492,1,0.0499,0.733,0.00505,0.76,0.949,86.895,136027,4,64.0
24,24,2WaYW84yWij5NSCpgSeU2R,Frank Sinatra,You Make Me Feel So Young - Remastered 1998,1950,0.577,0.306,9,-11.559,1,0.0427,0.383,0.0,0.18,0.568,125.166,177400,4,64.0
25,25,5OkKOkdVTKFrYi6GWXkMzR,Dean Martin,Volare (Nel Blu Di Pinto Di Blu) - Remastered 1998,1950,0.612,0.144,6,-12.204,0,0.0352,0.88,0.0,0.203,0.343,128.629,181627,4,63.0
26,26,2gNjmvuQiEd2z9SqyYi8HH,Louis Armstrong & Ella Fitzgerald,Summertime,1950,0.172,0.0696,11,-21.295,0,0.0339,0.916,0.00199,0.137,0.103,167.974,298133,5,63.0
27,27,3YdKJzcoMZMacISlpY4QoP,The Flamingos,I Only Have Eyes for You,1950,0.552,0.313,5,-12.41,1,0.0296,0.916,0.0017,0.12,0.303,88.554,202773,3,63.0
28,28,0F845nujLVqCb0XMZCh5Pc,Chet Baker,I Fall In Love Too Easily,1950,0.532,0.0657,0,-19.136,0,0.0406,0.94,0.00488,0.0946,0.292,128.607,201440,4,65.0
